"Site Crawled","https://enorpa.com/"
"Start Date","2026-06-28"
"Start Time","20:08:45"
"Last Modified Date","2026-06-28"
"Last Modified Time","20:10:00"
"Elapsed","00:01:14"
"Report Date","2026-06-28"
"Report Time","20:10:15"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"IDs Used In ARIA & Labels Must Be Unique","0","0,00%","137",""
"Page Requires Means To Bypass Repeated Blocks","0","0,00%","137",""
"All Page Content Must Be Contained By Landmarks","0","0,00%","137",""
"Page Requires One Main Landmark","0","0,00%","137",""
"Page Must Not Have More Than One Banner Landmark","0","0,00%","137",""
"Banner Landmark Must Not Be In Another Landmark","0","0,00%","137",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0,00%","137",""
"Page Requires At Most One Main Landmark","0","0,00%","137",""
"Complementary Landmarks & Asides Must Be Top Level","0","0,00%","137",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0,00%","137",""
"Main Landmark Must Not Be In Another Landmark","0","0,00%","137",""
"Landmarks Require Unique Role Or Accessible Name","0","0,00%","137",""
"Form Field Must Not Have Multiple Label Elements","0","0,00%","137",""
"Form <input> Elements Require Labels","0","0,00%","137",""
"Form Elements Should Have Visible Label","0","0,00%","137",""
"Autocomplete Attribute Must Be Used Correctly","0","0,00%","137",""
"Frames Require Title Attribute","0","0,00%","137",""
"Frames Require Unique Title Attribute","0","0,00%","137",""
"Frames Should Be Tested With axe-core","0","0,00%","137",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0,00%","137",""
"Page Must Contain <title>","0","0,00%","137",""
"Page Must Contain <h1>","0","0,00%","137",""
"Heading Levels Should Only Increase By One","0","0,00%","137",""
"Headings Should Not Be Empty","0","0,00%","137",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0,00%","137",""
"Meta Viewport Zoom & Scaling Disabled","0","0,00%","137",""
"HTML Element Lang Attribute Value Must Be Valid","0","0,00%","137",""
"HTML Element Requires Lang Attribute","0","0,00%","137",""
"HTML Lang & XML Lang Value Should Match","0","0,00%","137",""
"Lang Attribute Requires Valid Value","0","0,00%","137",""
"Delayed Meta Refresh Must Not Be Used","0","0,00%","137",""
"Timed Meta Refresh Must Not Exist","0","0,00%","137",""
"Image Button Requires Alternate Text","0","0,00%","137",""
"Images Require Alternate Text","0","0,00%","137",""
"<object> Elements Require Alternate Text","0","0,00%","137",""
"Active <area> Elements Require Alternate Text","0","0,00%","137",""
"Alt Text Should Not Be Repeated As Text","0","0,00%","137",""
"Elements Marked role=img Require Alternate Text","0","0,00%","137",""
"SVG Images & Graphics Require Accessible Text","0","0,00%","137",""
"Server-Side Image Maps Must Not Be Used","0","0,00%","137",""
"<video> Elements Require <track> For Captions","0","0,00%","137",""
"<video> or <audio> Elements Must Not Auto-play","0","0,00%","137",""
"Buttons Require Discernible Text","0","0,00%","137",""
"Input Buttons Require Discernible Text","0","0,00%","137",""
"Inline Text Spacing Must Be Adjustable","0","0,00%","137",""
"Links Must Be Distinguishable","0","0,00%","137",""
"Links Require Discernible Text","0","0,00%","137",""
"Links With Same Accessible Name","0","0,00%","137",""
"Select Element Requires Accessible Name","0","0,00%","137",""
"Summary Elements Require Discernible Text","0","0,00%","137",""
"Deprecated <marquee> Element Must Not Be Used","0","0,00%","137",""
"<blink> Elements Deprecated & Must Not Be Used","0","0,00%","137",""
"Text Requires Higher Color Contrast Ratio","0","0,00%","137",""
"Text Requires Higher Color Contrast to Background","0","0,00%","137",""
"Touch Targets Require Sufficient Size & Spacing","0","0,00%","137",""
"Interactive Controls Must Not Be Nested","0","0,00%","137",""
"List Items Must Be Contained In List Elements","0","0,00%","137",""
"Lists Must Only Contain <li> Content Elements","0","0,00%","137",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0,00%","137",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0,00%","137",""
"<th> Element Requires Associated Data Cells","0","0,00%","137",""
"Table Header Attr Must Refer To Cell In Same Table","0","0,00%","137",""
"Table Headers Require Discernible Text","0","0,00%","137",""
"Table With Identical Summary & Caption Text","0","0,00%","137",""
